timestamp,lon,lat,temperature,deviceRef
2026-06-18 12:28:00.728,2.187892,41.435316,29.0,217475
2026-06-18 12:49:36.504,2.187937,41.43528,31.2,217475
2026-06-18 13:12:18.756,2.187946,41.435296,29.3,217475
2026-06-18 13:34:00.732,2.187938,41.435328,29.2,217475
2026-06-18 13:39:56.472,2.187935,41.435316,28.8,217475
2026-06-18 13:40:37.612,2.187932,41.43534,29.5,217475
2026-06-18 13:40:37.617,2.187932,41.43534,29.5,217475
2026-06-18 13:41:18.772,2.187937,41.435344,36.3,217475
2026-06-18 14:02:35.276,2.188112,41.434908,29.9,217475
2026-06-18 14:03:16.415,2.187971,41.43528,30.1,217475
2026-06-18 14:03:57.555,2.187952,41.43532,30.5,217475
2026-06-18 14:24:40.195,2.187929,41.43534,30.5,217475
2026-06-18 14:25:21.335,2.187921,41.43534,30.7,217475
2026-06-18 14:26:02.475,2.187891,41.4354,31.0,217475
2026-06-18 14:46:49.615,2.187932,41.4353,29.6,217475
2026-06-18 14:47:30.754,2.187929,41.435304,29.9,217475
2026-06-18 15:38:33.347,2.187952,41.435296,27.3,217475
2026-06-18 15:54:09.397,2.187953,41.435288,27.5,217475
2026-06-18 15:54:50.537,2.187951,41.435276,27.9,217475
2026-06-18 16:09:39.351,2.187981,41.4353,27.1,217475
2026-06-18 16:10:20.511,2.187987,41.435308,27.0,217475
2026-06-18 16:11:01.651,2.18798,41.435304,27.3,217475
2026-06-18 16:41:08.446,2.188001,41.435272,27.5,217475
2026-06-18 16:41:49.586,2.187998,41.435256,27.1,217475
2026-06-18 16:42:30.726,2.187984,41.435264,27.1,217475
2026-06-18 17:11:26.827,2.187985,41.435264,26.5,217475
2026-06-18 17:12:07.967,2.188001,41.435252,27.0,217475
2026-06-18 17:33:50.496,2.187981,41.435244,27.1,217475
2026-06-18 17:34:31.636,2.187959,41.43526,26.8,217475
2026-06-18 17:48:27.147,2.187929,41.435284,26.2,217475
2026-06-18 17:54:56.827,2.187961,41.435268,26.3,217475
2026-06-18 17:55:37.961,2.187966,41.43526,26.3,217475
2026-06-18 17:55:37.967,2.187966,41.43526,26.3,217475
2026-06-18 17:56:19.101,2.187949,41.435284,26.4,217475
2026-06-18 17:56:19.107,2.187949,41.435284,26.4,217475
2026-06-18 18:23:44.502,2.187924,41.435324,26.0,217475
2026-06-18 18:24:25.662,2.187969,41.435264,26.2,217475
2026-06-18 18:25:06.802,2.187932,41.43532,26.4,217475
2026-06-18 18:46:39.358,2.187864,41.435168,25.9,217475
2026-06-18 18:47:20.498,2.187886,41.435192,25.8,217475
2026-06-18 18:48:01.638,2.187944,41.435244,25.8,217475
2026-06-18 19:10:39.375,2.187968,41.435296,25.2,217475
2026-06-18 19:11:20.515,2.187993,41.43532,25.3,217475
2026-06-18 19:12:01.655,2.187899,41.435288,25.3,217475
2026-06-18 19:33:40.247,2.188025,41.435284,24.4,217475
2026-06-18 19:33:40.260,2.188025,41.435284,24.4,217475
2026-06-18 19:40:46.400,2.18797,41.435236,24.2,217475
2026-06-18 19:41:27.540,2.187977,41.435252,24.2,217475
2026-06-18 19:42:08.675,2.187924,41.435288,24.3,217475
2026-06-18 19:42:08.680,2.187932,41.435288,24.3,217475
2026-06-18 19:48:08.435,2.187869,41.435344,11.7,217475
2026-06-18 20:04:19.640,2.18796,41.43532,24.2,217475
2026-06-18 20:05:00.780,2.187973,41.435312,24.4,217475
2026-06-18 20:12:19.551,2.18797,41.435308,24.2,217475
2026-06-18 20:18:08.451,2.187923,41.435316,24.3,217475
2026-06-18 20:18:49.591,2.187914,41.435316,24.3,217475
2026-06-18 20:19:30.731,2.187908,41.435348,24.3,217475
2026-06-18 20:32:57.314,2.187951,41.435308,24.3,217475
2026-06-18 20:33:38.454,2.187929,41.435312,24.3,217475
2026-06-18 20:34:19.594,2.187938,41.435344,24.3,217475
2026-06-18 20:48:32.442,2.188033,41.435248,24.1,217475
2026-06-18 20:49:54.742,2.187931,41.435312,24.3,217475
2026-06-18 21:17:33.296,2.187931,41.435316,23.8,217475
2026-06-18 21:18:55.576,2.187954,41.439404,23.9,217475
2026-06-18 21:24:57.345,2.188035,41.435308,24.0,217475
2026-06-18 21:24:57.356,2.188035,41.435308,24.0,217475
2026-06-18 21:25:38.496,2.18803,41.4353,23.8,217475
2026-06-18 21:26:19.636,2.18798,41.435264,23.9,217475
2026-06-18 21:40:44.460,2.187943,41.4353,24.0,217475
2026-06-18 21:41:25.600,2.187931,41.435296,24.0,217475
2026-06-18 21:47:09.660,2.18792,41.435316,24.0,217475
2026-06-18 21:48:31.944,2.187927,41.435328,23.9,217475
2026-06-18 21:55:14.452,2.187938,41.435324,23.8,217475
2026-06-18 22:10:03.326,2.187937,41.43526,23.4,217475
2026-06-18 22:11:25.606,2.187956,41.435312,23.4,217475
2026-06-18 22:33:50.484,2.18792,41.435344,23.6,217475
2026-06-18 22:34:31.624,2.187936,41.435324,23.5,217475
2026-06-18 22:40:16.164,2.18795,41.435304,23.8,217475
